county_name,total_permits,population,permit_ratio
Cannon,137.0,15063,90.95133771493062
Cheatham,263.0,42254,62.24262791688361
Davidson,3065.0,712334,43.027568528246576
Dickson,460.0,56729,81.08727458619049
Hickman,118.0,25826,45.69038952993108
Macon,168.0,26793,62.702944799014666
Maury,1529.0,110760,138.0462260743951
Robertson,924.0,76776,120.35010940919038
Rutherford,2875.0,367101,78.31632166624443
Smith,134.0,20538,65.24491187067875
Sumner,1635.0,207994,78.60803677029146
Trousdale,92.0,12271,74.97351479097058
Williamson,1598.0,264460,60.4250170158058
Wilson,1749.0,163674,106.85875581949485
